,file_name,text
0,crop-0-department1.jpg,СУХОЛОЖСКИМ ОВД СВЕРДЛОВСКОЙ ОБЛ.
1,crop-0-passport_date.jpg,17.02.2022
2,crop-0-code.jpg,662-051
3,crop-0-surname1.jpg,НОВИКОВ
4,crop-0-name.jpg,АНАТОЛИЙ
5,crop-0-patron.jpg,МИХАЙЛОВИЧ
6,crop-0-sex.jpg,МУЖ.
7,crop-0-birthday.jpg,17.02.2002
8,crop-0-birth_place1.jpg,Г.БРЯНСК
9,crop-1-department1.jpg,ТП УФМС РОССИИ ПО РЕСП. ТАТАРСТАН
10,crop-1-department2.jpg,(С МЕСТОМ ДИСЛОКАЦИИ В ПОС. ДЕРБЫШКИ)
11,crop-1-passport_date.jpg,20.03.1996
12,crop-1-code.jpg,160-011
13,crop-1-surname1.jpg,КОМАРОВ
14,crop-1-name.jpg,ИЛЬЯ
15,crop-1-patron.jpg,МАКСИМОВИЧ
16,crop-1-sex.jpg,МУЖ.
17,crop-1-birthday.jpg,20.03.1951
18,crop-1-birth_place1.jpg,ГОР.МАГАДАН
19,crop-2-department1.jpg,МАЛЫЧЕВСКИМ ОМ МИЛЛЕРОВСКОГО
20,crop-2-department2.jpg,РАЙОНА РОСТОВСКОЙ ОБЛ.
21,crop-2-passport_date.jpg,03.11.2003
22,crop-2-code.jpg,613-007
23,crop-2-surname1.jpg,ИВАНОВ
24,crop-2-name.jpg,ДАНИЭЛЬ
25,crop-2-patron.jpg,ПАВЛОВИЧ
26,crop-2-sex.jpg,МУЖ.
27,crop-2-birthday.jpg,03.11.1960
28,crop-2-birth_place1.jpg,ГОР.ХАБАРОВСК
29,crop-3-department1.jpg,ГУ МВД РОССИИ ПО САМАРСКОЙ ОБЛ.
30,crop-3-passport_date.jpg,12.04.1997
31,crop-3-code.jpg,630-045
32,crop-3-surname1.jpg,ГРАЧЕВ
33,crop-3-name.jpg,МИРОСЛАВ
34,crop-3-patron.jpg,ПЕТРОВИЧ
35,crop-3-sex.jpg,МУЖ.
36,crop-3-birthday.jpg,12.04.1982
37,crop-3-birth_place1.jpg,Г.УЛЬЯНОВСК
38,crop-4-department1.jpg,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП.
39,crop-4-department2.jpg,ДАГЕСТАН В Г. ХАСАВЮРТ
40,crop-4-passport_date.jpg,01.07.2014
41,crop-4-code.jpg,050-011
42,crop-4-surname1.jpg,ЯШИН
43,crop-4-name.jpg,МИРОСЛАВ
44,crop-4-patron.jpg,АНТОНОВИЧ
45,crop-4-sex.jpg,МУЖ.
46,crop-4-birthday.jpg,01.07.2000
47,crop-4-birth_place1.jpg,Г.ЮЖНО-САХАЛИНСК
48,crop-5-department1.jpg,УМВД РОССИИ ПО ПРИМОРСКОМУ КРАЮ
49,crop-5-passport_date.jpg,19.07.2007
50,crop-5-code.jpg,250-052
51,crop-5-surname1.jpg,КУЗЬМИН
52,crop-5-name.jpg,ДАМИР
53,crop-5-patron.jpg,ПЛАТОНОВИЧ
54,crop-5-sex.jpg,МУЖ.
55,crop-5-birthday.jpg,19.07.1923
56,crop-5-birth_place1.jpg,Г.ТУЛА
57,crop-6-department1.jpg,ГУ МВД РОССИИ ПО КРАСНОДАРСКОМУ
58,crop-6-department2.jpg,КРАЮ
59,crop-6-passport_date.jpg,21.02.2012
60,crop-6-code.jpg,230-032
61,crop-6-surname1.jpg,ГЛУШКОВ
62,crop-6-name.jpg,САВЕЛИЙ
63,crop-6-patron.jpg,ВАЛЕНТИНОВИЧ
64,crop-6-sex.jpg,МУЖ.
65,crop-6-birthday.jpg,21.02.1967
66,crop-6-birth_place1.jpg,Г.ТАМБОВ
67,crop-7-department1.jpg,ТП № 3 В Г. СЕЛЬЦО МРО УФМС
68,crop-7-department2.jpg,РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. БРЯНСКЕ
69,crop-7-passport_date.jpg,20.02.2004
70,crop-7-code.jpg,320-027
71,crop-7-surname1.jpg,ЩЕРБАКОВ
72,crop-7-name.jpg,ТИМОФЕЙ
73,crop-7-patron.jpg,ЯКОВЛЕВИЧ
74,crop-7-sex.jpg,МУЖ.
75,crop-7-birthday.jpg,20.02.1984
76,crop-7-birth_place1.jpg,ГОР.КИРОВ
77,crop-8-department1.jpg,ЮРГИНСКИМ РОВД ТЮМЕНСКОЙ ОБЛ.
78,crop-8-passport_date.jpg,07.06.2014
79,crop-8-code.jpg,722-024
80,crop-8-surname1.jpg,КАЛАШНИКОВ
81,crop-8-name.jpg,БОГДАН
82,crop-8-patron.jpg,ПАЛЫЧ
83,crop-8-sex.jpg,МУЖ.
84,crop-8-birthday.jpg,07.06.1980
85,crop-8-birth_place1.jpg,Г.ЛИПЕЦК
86,crop-9-department1.jpg,ГУ МВД РОССИИ ПО Г. САНКТ-
